timestamp,class,confidence,x,y,w,h,action,height,temp,speed_x,speed_y,speed_z,flight_time,battery
1758700795.0754821,0,0.8040374517440796,604,265,122,186,move_right,40,81.0,0,0,0,279,66
1758700797.32815,0,0.7738733887672424,576,273,109,185,move_forward,50,81.5,0,0,0,281,66
1758700799.3364348,0,0.8135225176811218,584,245,121,193,move_right,40,80.5,0,0,0,284,66
1758700802.353896,0,0.7611013054847717,585,248,107,186,move_right,40,80.0,0,0,0,286,66
1758700804.27441,0,0.7937924265861511,562,260,108,182,move_forward,40,80.0,0,0,0,289,66
1758700814.767675,0,0.7895117402076721,559,253,113,188,move_forward,40,79.5,0,0,0,291,66
1758700817.006739,0,0.7871460914611816,653,270,109,207,move_right,40,77.5,0,0,0,301,63
1758700819.109519,0,0.84321129322052,586,266,133,206,move_right,40,77.0,0,0,0,303,62
1758700821.400896,0,0.8559717535972595,541,277,132,209,move_forward,40,77.0,0,0,0,305,62
1758700823.5121121,0,0.8696004748344421,505,271,142,227,move_forward,50,76.5,0,0,0,308,61
1758700825.40521,0,0.9079205989837646,479,232,166,247,move_forward,40,76.5,0,0,0,310,61
1758700827.30863,0,0.907110333442688,468,265,177,274,move_forward,40,76.5,0,0,0,312,61
1758700829.202131,0,0.8946171998977661,477,292,182,295,move_forward,40,76.5,0,0,0,314,60
1758700831.103062,0,0.9014841914176941,479,304,185,319,move_forward,40,76.0,0,0,0,316,60
1758700833.006476,0,0.9078317880630493,478,319,178,342,move_forward,40,75.5,0,0,0,317,60
1758700834.7918668,0,0.9097272753715515,462,325,206,371,move_forward,40,75.5,0,0,0,319,60
1758700837.099743,0,0.9118639826774597,710,385,276,667,move_right,40,74.5,0,0,0,321,59
1758700840.070504,0,0.5103223919868469,935,567,47,306,move_right,50,75.0,0,0,0,324,59
