timestamp,class,confidence,x,y,w,h,action,height,temp,speed_x,speed_y,speed_z,flight_time,battery
1758700914.285884,0,0.8011319041252136,533,268,122,200,move_forward,60,80.0,0,0,0,337,56
1758700916.15954,0,0.8539737462997437,538,264,137,214,move_forward,50,80.0,0,0,0,339,56
1758700917.9712582,0,0.8162174820899963,547,264,148,235,move_forward,50,80.0,0,0,0,340,56
1758700919.970848,0,0.8452470898628235,549,269,163,249,move_forward,50,80.0,0,0,0,342,56
1758700928.766069,0,0.869189441204071,539,294,159,269,move_forward,50,79.0,0,0,0,344,56
1758700931.0621629,0,0.8886875510215759,535,315,170,287,move_forward,60,78.0,0,0,0,353,54
1758700933.360945,0,0.8186886310577393,530,319,177,305,move_forward,60,77.5,0,0,0,355,54
1758700935.593086,0,0.8512073755264282,520,327,175,323,move_forward,60,78.0,0,0,0,358,53
1758700938.002476,0,0.8672581315040588,508,326,179,345,move_forward,50,78.0,0,0,0,360,52
1758700940.496901,0,0.9061173796653748,506,347,194,370,move_forward,60,77.5,0,0,0,362,52
1758700942.903203,0,0.8864648342132568,506,368,227,413,move_forward,60,77.5,0,0,0,365,51
1758700944.790185,0,0.9113706350326538,519,343,253,454,move_forward,50,77.5,0,0,0,367,51
1758700947.196033,0,0.9096621870994568,541,405,283,529,move_forward,50,77.0,0,0,0,369,50
1758700949.8033931,0,0.9180147647857666,567,452,312,534,move_forward,60,77.0,0,0,0,372,50
1758700952.100991,0,0.8873893618583679,577,445,338,546,move_forward,60,78.0,0,0,0,374,49
1758700954.6032488,0,0.8964969515800476,612,455,450,526,move_right,60,77.0,0,0,0,376,49
1758700957.100346,0,0.9462776184082031,484,442,414,551,move_forward,60,77.0,0,0,0,379,49
1758700959.7013671,0,0.9410017132759094,442,463,437,514,move_forward,60,76.5,0,0,0,381,48
1758700961.7050052,0,0.917962372303009,452,455,499,527,move_forward,60,77.0,0,0,0,384,48
1758700966.0227149,0,0.9267446398735046,518,420,519,599,move_forward,50,76.5,0,0,0,386,47
1758700968.537576,0,0.9521361589431763,711,462,496,514,move_right,60,76.5,0,0,0,390,47
1758700971.026624,0,0.9417672157287598,588,431,460,574,move_right,60,76.0,0,0,0,393,46
