timestamp,class,confidence,x,y,w,h,action,height,temp,speed_x,speed_y,speed_z,flight_time,battery
1758700345.439801,0,0.8620882034301758,325,412,176,379,move_left,50,76.0,0,0,0,104,92
1758700347.215178,0,0.7215016484260559,368,283,120,154,move_left,50,76.0,0,0,0,104,92
1758700349.279536,0,0.8514518737792969,428,406,182,390,move_forward,50,75.0,0,0,0,108,92
1758700351.60149,0,0.8574610352516174,420,432,195,401,move_forward,50,76.0,0,0,0,110,92
1758700353.712116,0,0.9004315733909607,405,450,212,428,move_forward,50,75.0,0,0,0,112,92
1758700355.834423,0,0.8837153911590576,385,478,218,446,move_forward,50,74.5,0,0,0,114,92
1758700357.6541162,0,0.5693403482437134,431,326,143,191,move_forward,50,74.5,0,0,0,114,92
1758700360.0736132,0,0.9082791209220886,338,494,254,447,move_left,60,74.5,0,0,0,118,92
1758700362.1970088,0,0.5935803651809692,394,337,154,200,move_forward,60,74.5,0,0,0,118,92
1758700364.097687,0,0.9071042537689209,417,505,299,430,move_forward,50,74.0,0,0,0,123,91
1758700365.9184241,0,0.5776212215423584,456,308,132,158,move_forward,50,74.0,0,0,0,123,91
1758700367.9287941,0,0.9082474708557129,372,479,348,478,move_left,50,74.0,0,0,0,126,90
1758700369.850307,0,0.5496054887771606,413,292,143,189,move_forward,50,74.0,0,0,0,126,90
1758700371.580301,0,0.9007970094680786,444,506,386,425,move_forward,50,75.0,0,0,0,130,89
1758700373.795887,0,0.9105308651924133,420,509,444,420,move_forward,50,74.5,0,0,0,132,89
1758700375.71942,0,0.6808847784996033,464,329,136,184,move_forward,50,74.5,0,0,0,132,89
1758700377.86031,0,0.7419827580451965,260,616,255,205,move_left,60,74.5,0,0,0,136,88
1758700379.7812421,0,0.6649696230888367,439,441,196,227,move_forward,60,74.5,0,0,0,136,88
1758700381.9874492,0,0.876987874507904,313,569,336,299,move_left,50,74.0,0,0,0,140,87
1758700384.010069,0,0.8371418714523315,494,384,181,215,move_forward,50,74.0,0,0,0,140,87
1758700386.424038,0,0.8611672520637512,526,432,233,253,move_forward,50,74.0,0,0,0,144,86
1758700388.516938,0,0.764074444770813,516,491,259,375,move_forward,50,74.0,0,0,0,147,86
1758700390.539478,0,0.8550340533256531,501,512,281,412,move_forward,50,74.0,0,0,0,149,86
1758700392.541674,0,0.8352176547050476,491,528,305,381,move_forward,50,73.0,0,0,0,151,86
1758700394.445072,0,0.8059228658676147,462,550,328,337,move_forward,50,73.0,0,0,0,153,85
1758700396.661759,0,0.8806336522102356,491,552,361,333,move_forward,50,74.0,0,0,0,155,85
1758700399.164202,0,0.6621085405349731,523,621,315,196,move_forward,50,73.0,0,0,0,158,85
1758700401.1830359,0,0.5155532956123352,601,669,188,99,move_right,50,73.5,0,0,0,160,84
1758700403.1864069,0,0.8185110092163086,300,622,241,194,move_left,50,73.0,0,0,0,162,84
1758700405.5042381,0,0.657378077507019,452,621,217,196,move_forward,50,73.5,0,0,0,164,84
