timestamp,class,confidence,x,y,w,h,action,height,temp,speed_x,speed_y,speed_z,flight_time,battery,flight_id,video_path,detection_id
1758700360.0736132,0,0.9082791209220886,338,494,254,447,move_left,60,74.5,0,0,0,118,92,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00007
1758700362.1970088,0,0.5935803651809692,394,337,154,200,move_forward,60,74.5,0,0,0,118,92,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00008
1758700364.097687,0,0.9071042537689208,417,505,299,430,move_forward,50,74.0,0,0,0,123,91,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00009
1758700365.918424,0,0.5776212215423584,456,308,132,158,move_forward,50,74.0,0,0,0,123,91,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00010
1758700367.928794,0,0.9082474708557128,372,479,348,478,move_left,50,74.0,0,0,0,126,90,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00011
1758700369.850307,0,0.5496054887771606,413,292,143,189,move_forward,50,74.0,0,0,0,126,90,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00012
1758700371.580301,0,0.9007970094680786,444,506,386,425,move_forward,50,75.0,0,0,0,130,89,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00013
1758700373.795887,0,0.9105308651924132,420,509,444,420,move_forward,50,74.5,0,0,0,132,89,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00014
1758700375.71942,0,0.6808847784996033,464,329,136,184,move_forward,50,74.5,0,0,0,132,89,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00015
1758700377.86031,0,0.7419827580451965,260,616,255,205,move_left,60,74.5,0,0,0,136,88,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00016
1758700379.781242,0,0.6649696230888367,439,441,196,227,move_forward,60,74.5,0,0,0,136,88,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00017
1758700381.9874492,0,0.876987874507904,313,569,336,299,move_left,50,74.0,0,0,0,140,87,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00018
1758700384.010069,0,0.8371418714523315,494,384,181,215,move_forward,50,74.0,0,0,0,140,87,flight-002,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-002/session_2025-09-24_16-52-14.avi,flight-002_00019
