timestamp,class,confidence,x,y,w,h,action,height,temp,speed_x,speed_y,speed_z,flight_time,battery,flight_id,video_path,detection_id,detected,bbox_area,aspect_ratio,dx,dy,detected_s,x_s,y_s,w_s,h_s,bbox_area_s,aspect_ratio_s,height_s,speed_x_s,speed_y_s,speed_z_s,dx_s,dy_s,action_encoded
1758700197.3400068,0,0.859870195388794,486.0,298.0,111.0,134.0,move_forward,70.0,61.0,0.0,0.0,0.0,7,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00000,1,14874.0,0.8283582027734463,0.0,0.0,0.08980265101338757,0.03731783754593471,-0.8599563459388787,-0.9742961928006807,-1.2649547497518938,-0.8643289847628247,0.04245425168186869,0.8308675641104957,-0.27854300726557785,0.0,0.0,0.028784805377079472,-0.0663602130613306,0
1758700199.8567932,0,0.800240159034729,473.0,300.0,118.0,141.0,move_forward,80.0,62.0,0.0,0.0,0.0,10,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00001,1,16638.0,0.8368794266887984,-13.0,2.0,0.08980265101338757,-0.0846972248527452,-0.843955371952222,-0.9215451768548484,-1.2145087625118909,-0.8434245338442043,0.0656387459281692,1.6001893827313254,-0.27854300726557785,0.0,0.0,-0.10960368201272568,-0.0451724055704843,0
1758700202.467307,0,0.8222478032112122,478.0,324.0,127.0,152.0,move_forward,80.0,62.0,0.0,0.0,0.0,12,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00002,1,19304.0,0.8355263102925901,5.0,24.0,0.08980265101338757,-0.03776835469940677,-0.6519436841123414,-0.8537224420673497,-1.135236496849029,-0.8118308455510967,0.06195719506011274,1.6001893827313254,-0.27854300726557785,0.0,0.0,0.08201114668085069,0.18789347682882493,0
1758700205.5814242,0,0.8323753476142883,476.0,331.0,123.0,157.0,move_forward,80.0,62.5,1.0,0.0,0.0,15,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00003,1,19311.0,0.7834394854557994,-2.0,7.0,0.08980265101338757,-0.05653990276074214,-0.5959402751590429,-0.8838658797506824,-1.0992036488204553,-0.8117478913807847,-0.07976032142962132,1.6001893827313254,3.5901098714230035,0.0,0.0,0.007494268855570988,0.007797113156631433,0
1758700207.892028,0,0.7657082080841064,458.0,326.0,143.0,163.0,move_forward,80.0,63.0,1.0,0.0,0.0,18,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00004,1,23309.0,0.8773006081147202,-18.0,-5.0,0.08980265101338757,-0.22548383531276045,-0.6359427101256847,-0.7331486913340188,-1.055964231186167,-0.7643692095368821,0.1756164507165105,1.6001893827313254,3.5901098714230035,0.0,0.0,-0.16283002331649687,-0.1193297317884463,0
1758700210.717312,0,0.8201891779899597,459.0,321.0,168.0,181.0,move_forward,80.0,64.0,0.0,0.0,0.0,20,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00005,1,30408.0,0.9281767904520619,1.0,-5.0,0.08980265101338757,-0.21609806128209277,-0.6759451450923265,-0.5447522058131892,-0.926245978283302,-0.68024183024477,0.31404005845069227,1.6001893827313254,-0.27854300726557785,0.0,0.0,0.03943007363783371,-0.1193297317884463,0
1758700213.305254,0,0.876579761505127,465.0,318.0,165.0,189.0,move_forward,80.0,64.0,0.0,0.0,0.0,23,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00006,1,31185.0,0.8730158683967415,6.0,-3.0,0.08980265101338757,-0.15978341709808666,-0.6999466060723115,-0.5673597840756888,-0.8685934214375842,-0.6710339173401396,0.1639585569297507,1.6001893827313254,-0.27854300726557785,0.0,0.0,0.09265641494160494,-0.09814192429760002,0
1758700216.01179,0,0.861499011516571,467.0,320.0,175.0,203.0,move_forward,80.0,64.5,0.0,0.0,0.0,26,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00007,1,35525.0,0.8620689612705963,2.0,2.0,0.08980265101338757,-0.1410118690367513,-0.6839456320856548,-0.4920011898673569,-0.767701446957578,-0.6196023317467086,0.13417427854414848,1.6001893827313254,-0.27854300726557785,0.0,0.0,0.05007534189858796,-0.0451724055704843,0
1758700218.822023,0,0.8642127513885498,471.0,323.0,179.0,201.0,move_forward,70.0,65.0,1.0,0.0,0.0,28,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00008,1,35979.0,0.8905472592510086,4.0,3.0,0.08980265101338757,-0.10346877291408056,-0.6599441711056697,-0.4618577521840242,-0.7821145861690075,-0.6142221612721884,0.2116578586296057,0.8308675641104957,3.5901098714230035,0.0,0.0,0.07136587842009645,-0.03457850182506115,0
1758700221.364807,0,0.8753975033760071,483.0,335.0,188.0,220.0,move_forward,70.0,66.0,0.0,0.0,0.0,31,100.0,flight-001,/Users/vishwanibhagya/Development/Capturing Video/DJITelloPy/djitellopy/dataset/flight-001/session_2025-09-24_16-49-47.avi,flight-001_00009,1,41360.0,0.8545454506611571,12.0,12.0,0.08980265101338757,0.009160515453931652,-0.5639383271857294,-0.3940350173965256,-0.6451897636604278,-0.5504541054937894,0.11370435659757606,0.8308675641104957,-0.27854300726557785,0.0,0.0,0.15652802450613038,0.06076663188374716,0
